name,sac_scale,surface,trail_visibility,bicycle,horse,wheelchair,dog,stroller
Goraksan Mt. Hiking Trails,1.0,-1.0,0.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
Troop 19 Trail,0.0,2.0,1.0,2,2,0,1,0
대피소-후루메기삼거리 1Km 00:30,0.0,-1.0,1.0,2,2,0,1,0
Tennessee River Walk,0.0,0.0,1.0,2,2,0,1,0
Likya Yolu 4.03,2.0,2.0,1.0,2,2,0,1,0
東海自然歩道,0.0,-1.0,0.0,2,2,0,1,0
Levada do Canico,0.0,2.0,1.0,2,2,0,1,0
Dikeos,2.0,-1.0,1.0,2,2,0,1,0
Dikeos,2.0,-1.0,1.0,2,2,0,1,0
Jamshidieh to Kolakchal,0.0,-1.0,0.0,2,2,0,1,0
Levada do Pico da Urze,1.0,-1.0,2.0,2,2,0,1,0
Boca do Pau de Louro,3.0,2.0,-1.0,2,2,0,1,0
South Spur,3.0,2.0,0.0,2,2,0,1,0
South Spur,4.0,2.0,0.0,2,2,0,1,0
Amiri Spur,1.0,2.0,1.0,2,2,0,1,0
Shirpala to Osun;Shirpala to Amiri,1.0,2.0,0.0,2,2,0,1,0
Osun to 5th Tochal Telecabin,1.0,-1.0,1.0,2,2,0,1,0
Yoshida Trail [Ascent],3.0,-1.0,1.0,2,2,0,1,0
Rainbow Falls Trail,1.0,1.0,0.0,2,2,0,1,0
Likya Yolu 5.02,1.0,2.0,1.0,2,2,0,1,0
Heritage Park Trail,0.0,2.0,2.0,2,2,0,1,0
Hickory Nut Falls Trail,0.0,2.0,0.0,2,2,0,1,0
Exclamation Point Trail,1.0,2.0,1.0,2,2,0,1,0
